,City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (%)
7159,novoseleznevo,ru,56.0,69,17.0,82.0,68.0,6.0
5830,north branch,us,46.0,-93,17.0,73.0,1.0,10.0
6062,kalispell,us,48.0,-115,28.0,81.0,75.0,3.0
7372,irbit,ru,58.0,63,1.0,60.0,36.0,2.0
285,mandurah,au,-32.0,113,66.0,34.0,40.0,14.0
7021,lukhovitsy,ru,55.0,39,19.0,89.0,64.0,4.0
3510,dindori,in,23.0,81,62.0,62.0,0.0,2.0
1890,kiboga,ug,1.0,32,61.0,91.0,0.0,2.0
3176,myanaung,mm,18.0,94,76.0,76.0,12.0,13.0
1408,cabedelo,br,-7.0,-34,75.0,94.0,40.0,3.0
5316,north bend,us,42.0,-137,48.0,92.0,90.0,6.0
7898,kovdor,ru,68.0,29,21.0,77.0,80.0,6.0
5874,codroipo,it,46.0,13,50.0,100.0,92.0,1.0
7861,igarka,ru,66.0,85,-11.0,57.0,20.0,8.0
3987,dera bugti,pk,29.0,69,58.0,83.0,0.0,6.0
2773,birnin kebbi,ng,13.0,4,62.0,39.0,0.0,7.0
6786,meleuz,ru,53.0,56,17.0,89.0,80.0,3.0
6533,khovu-aksy,ru,51.0,94,-6.0,49.0,32.0,3.0
2599,leo,bf,11.0,-2,69.0,31.0,12.0,7.0
591,gobabis,na,-23.0,19,61.0,88.0,64.0,5.0
1021,balaka,mw,-15.0,35,65.0,100.0,20.0,2.0
1752,magadi,ke,-2.0,36,67.0,82.0,40.0,9.0
3144,george town,ky,18.0,-83,85.0,79.0,75.0,2.0
3849,qidong,cn,27.0,112,61.0,98.0,100.0,6.0
6581,swan river,ca,52.0,-101,-9.0,48.0,0.0,2.0
5821,billings,us,46.0,-108,30.0,58.0,20.0,8.0
5792,kaitong,cn,45.0,123,47.0,30.0,8.0,24.0
1817,santo domingo,ec,0.0,-79,75.0,94.0,40.0,4.0
1990,kitgum,ug,3.0,33,63.0,80.0,0.0,5.0
5245,porto torres,it,41.0,8,48.0,93.0,40.0,1.0
3205,mundo nuevo,mx,19.0,-95,55.0,93.0,0.0,6.0
4642,harqalah,tn,36.0,10,40.0,87.0,0.0,4.0
3735,sann,pk,26.0,68,59.0,72.0,20.0,4.0
7607,kizema,ru,61.0,45,24.0,90.0,88.0,10.0
2578,puerto cabello,ve,11.0,-68,80.0,65.0,40.0,2.0
4883,carbonia,it,38.0,8,55.0,93.0,75.0,1.0
5402,khuchni,ru,42.0,48,28.0,81.0,76.0,0.0
66,san carlos de bariloche,ar,-43.0,-71,46.0,65.0,0.0,1.0
5915,balkhash,kz,46.0,75,10.0,100.0,0.0,6.0
3814,jaisalmer,in,27.0,70,58.0,70.0,44.0,4.0
2421,bida,ng,9.0,6,70.0,69.0,0.0,3.0
7284,krivosheino,ru,57.0,84,-2.0,62.0,20.0,7.0
683,rio novo do sul,br,-21.0,-41,76.0,94.0,92.0,10.0
2850,niono,ml,14.0,-6,67.0,33.0,0.0,9.0
4639,medea,dz,36.0,2,64.0,59.0,75.0,11.0
6310,lillooet,ca,50.0,-122,41.0,80.0,75.0,2.0
4732,sikeston,us,37.0,-90,42.0,80.0,90.0,25.0
7539,lesnoy,ru,60.0,52,21.0,90.0,92.0,5.0
7869,pevek,ru,66.0,170,-7.0,80.0,0.0,6.0
5365,girona,es,42.0,3,41.0,100.0,20.0,3.0
158,port macquarie,au,-37.0,161,77.0,38.0,40.0,13.0
2872,adwa,et,14.0,39,47.0,100.0,36.0,2.0
3662,sirsa,in,25.0,82,56.0,80.0,0.0,2.0
5156,janfida,am,40.0,44,35.0,93.0,20.0,2.0
3366,surat,in,21.0,73,80.0,100.0,12.0,11.0
1005,sao joao do paraiso,br,-15.0,-42,62.0,86.0,92.0,4.0
2280,ragama,lk,7.0,80,78.0,78.0,8.0,8.0
4016,linhai,cn,29.0,121,58.0,100.0,92.0,3.0
6274,dombarovskiy,ru,49.0,60,26.0,87.0,68.0,12.0
4343,pindi gheb,pk,33.0,72,46.0,78.0,0.0,2.0
7133,tumbotino,ru,56.0,43,26.0,86.0,90.0,8.0
3711,panama city,us,26.0,-87,65.0,100.0,75.0,9.0
2634,prachuap khiri khan,th,11.0,101,83.0,62.0,0.0,8.0
4635,ceuta,es,36.0,-5,66.0,91.0,0.0,2.0
2013,san jeronimo,mx,4.0,-107,46.0,95.0,92.0,1.0
3520,lakshmipur,bd,23.0,91,76.0,82.0,0.0,5.0
4495,canyon,us,35.0,-102,28.0,69.0,1.0,6.0
1771,sao gabriel da cachoeira,br,-1.0,-68,77.0,95.0,44.0,2.0
6111,freilassing,de,48.0,13,39.0,93.0,75.0,4.0
5381,tetovo,mk,42.0,21,35.0,96.0,64.0,7.0
5188,preobrazheniye,ru,40.0,135,39.0,58.0,0.0,2.0
7565,mokhsogollokh,ru,60.0,128,-24.0,70.0,24.0,3.0
3106,kodar,in,17.0,80,75.0,48.0,0.0,4.0
5628,gromiljak,ba,44.0,18,46.0,100.0,75.0,1.0
4000,jumla,np,29.0,82,33.0,63.0,0.0,2.0
6710,drayton valley,ca,53.0,-115,14.0,66.0,0.0,2.0
6940,zalesovo,ru,54.0,85,18.0,80.0,80.0,16.0
4129,wilmington,us,31.0,-76,40.0,100.0,1.0,1.0
6747,neuruppin,de,53.0,13,33.0,100.0,75.0,6.0
4534,asimion,gr,35.0,25,59.0,93.0,90.0,11.0
3700,mapimi,mx,26.0,-104,62.0,67.0,40.0,13.0
2701,debre tabor,et,12.0,38,49.0,72.0,0.0,3.0
2600,navrongo,gh,11.0,-1,70.0,37.0,0.0,6.0
7499,tyssedal,no,60.0,7,-1.0,61.0,0.0,1.0
6752,bydgoszcz,pl,53.0,18,35.0,93.0,90.0,9.0
5241,alcaniz,es,41.0,0,40.0,91.0,24.0,4.0
4772,paros,gr,37.0,25,33.0,95.0,80.0,3.0
6546,duldurga,ru,51.0,114,15.0,43.0,36.0,20.0
6249,humenne,sk,49.0,22,29.0,100.0,92.0,4.0
1742,gamboma,cg,-2.0,16,69.0,98.0,80.0,3.0
4416,zlitan,ly,34.0,15,58.0,100.0,0.0,10.0
2147,cerinza,co,6.0,-73,55.0,93.0,64.0,2.0
4400,lawrenceville,us,34.0,-84,49.0,85.0,90.0,11.0
2897,det udom,th,14.0,105,78.0,61.0,88.0,17.0
1833,kango,ga,0.0,10,72.0,99.0,92.0,2.0
6589,carmarthen,gb,52.0,-4,32.0,100.0,8.0,5.0
2657,punto fijo,ve,12.0,-71,81.0,74.0,8.0,18.0
5260,proti,gr,41.0,24,42.0,100.0,92.0,2.0
5079,steamboat springs,us,40.0,-107,14.0,88.0,40.0,2.0
6361,stepankovice,cz,50.0,18,41.0,86.0,90.0,17.0
5923,zhenlai,cn,46.0,123,44.0,33.0,64.0,23.0
5056,dingzhou,cn,39.0,114,48.0,39.0,0.0,2.0
7426,karla,ee,59.0,21,26.0,92.0,20.0,2.0
5735,saint-medard-en-jalles,fr,45.0,-1,41.0,100.0,88.0,3.0
4212,brandon,us,32.0,-90,17.0,72.0,1.0,11.0
1124,kasungu,mw,-13.0,33,61.0,89.0,24.0,3.0
842,joao pinheiro,br,-18.0,-46,63.0,98.0,68.0,8.0
239,llaillay,cl,-33.0,-71,61.0,93.0,0.0,6.0
973,antalaha,mg,-16.0,52,74.0,94.0,20.0,7.0
7436,kholm,ru,59.0,33,21.0,87.0,56.0,7.0
3634,arona,es,25.0,-18,36.0,100.0,75.0,2.0
2783,massaguet,td,13.0,15,66.0,32.0,0.0,5.0
6743,achim,de,53.0,9,35.0,98.0,92.0,9.0
7398,ust-maya,ru,58.0,134,-24.0,72.0,8.0,3.0
5167,romitan,uz,40.0,64,33.0,86.0,80.0,6.0
1957,tarakan,id,2.0,116,82.0,98.0,44.0,2.0
6969,ekhabi,ru,54.0,145,10.0,100.0,0.0,11.0
6600,sassenberg,de,52.0,8,39.0,93.0,75.0,3.0
2685,dutse,ng,12.0,9,60.0,44.0,0.0,6.0
7125,zubtsov,ru,56.0,35,19.0,76.0,76.0,7.0
5658,shetpe,kz,44.0,52,27.0,69.0,88.0,2.0
7662,lyaskelya,ru,62.0,31,12.0,80.0,12.0,6.0
56,milton,nz,-46.0,170,34.0,95.0,90.0,3.0
7330,linkoping,se,58.0,16,20.0,92.0,0.0,3.0
3189,puro,ph,18.0,118,83.0,75.0,0.0,4.0
2145,salgar,co,6.0,-76,60.0,100.0,75.0,2.0
5936,novikovo,ru,46.0,143,30.0,100.0,24.0,5.0
7243,kalyazin,ru,57.0,38,22.0,86.0,80.0,10.0
6494,bakhmach,ua,51.0,33,34.0,99.0,92.0,6.0
7319,visnes,no,58.0,2,31.0,80.0,76.0,6.0
7182,borodino,ru,56.0,95,12.0,76.0,64.0,15.0
1778,soure,br,-1.0,-49,57.0,67.0,20.0,14.0
4590,ito,jp,35.0,139,60.0,59.0,75.0,12.0
4137,bani walid,ly,31.0,14,50.0,88.0,0.0,8.0
7158,armizonskoye,ru,56.0,68,17.0,83.0,68.0,5.0
2156,mana,gf,6.0,-54,48.0,87.0,0.0,12.0
387,presidencia roque saenz pena,ar,-28.0,-62,71.0,81.0,24.0,8.0
5154,horasan,tr,40.0,42,25.0,95.0,80.0,2.0
7234,pytalovo,ru,57.0,28,23.0,80.0,56.0,6.0
3705,brownsville,us,26.0,-97,69.0,47.0,1.0,13.0
3245,pyay,mm,19.0,95,75.0,79.0,0.0,10.0
5743,giaveno,it,45.0,7,44.0,100.0,75.0,2.0
3107,nuzvid,in,17.0,81,75.0,64.0,0.0,2.0
2382,balila,ph,8.0,125,51.0,87.0,92.0,3.0
7921,murmansk,ru,69.0,33,23.0,79.0,75.0,4.0
6485,hrubieszow,pl,51.0,24,30.0,97.0,88.0,7.0
1165,baixa grande,br,-12.0,-40,74.0,74.0,100.0,6.0
1514,morropon,pe,-5.0,-80,67.0,76.0,76.0,1.0
3843,bijie,cn,27.0,105,48.0,81.0,24.0,3.0
5750,pula,hr,45.0,14,77.0,69.0,75.0,12.0
953,sao joao da ponte,br,-16.0,-44,62.0,99.0,100.0,9.0
2620,adet,et,11.0,38,48.0,79.0,8.0,3.0
1459,ananas,br,-6.0,-48,70.0,81.0,48.0,2.0
4907,goksun,tr,38.0,36,42.0,93.0,0.0,2.0
91,riwaka,nz,-41.0,173,55.0,100.0,100.0,13.0
5126,anzio,it,40.0,12,55.0,87.0,40.0,13.0
3177,letpadan,mm,18.0,96,78.0,70.0,0.0,3.0
4021,caborca,mx,30.0,-113,45.0,74.0,0.0,3.0
6637,novyye burasy,ru,52.0,46,24.0,92.0,90.0,4.0
7584,hof,no,61.0,13,39.0,91.0,90.0,5.0
3001,san pedro buenavista,mx,16.0,-93,59.0,74.0,36.0,1.0
1757,jambi,id,-2.0,103,77.0,95.0,92.0,3.0
3413,panuco,mx,22.0,-98,50.0,43.0,40.0,6.0
6198,kenora,ca,49.0,-95,6.0,84.0,20.0,8.0
3158,araouane,ml,18.0,-6,67.0,48.0,64.0,9.0
477,lichtenburg,za,-26.0,26,59.0,89.0,88.0,8.0
6929,zverinogolovskoye,ru,54.0,65,19.0,88.0,76.0,8.0
7721,kuopio,fi,63.0,28,24.0,92.0,90.0,3.0
31,arraial do cabo,br,-58.0,-18,71.0,100.0,92.0,8.0
2506,nikki,bj,10.0,3,65.0,59.0,0.0,3.0
2594,kolondieba,ml,11.0,-7,66.0,65.0,8.0,2.0
6472,erfurt,de,51.0,11,39.0,100.0,90.0,10.0
5794,qianguo,cn,45.0,125,43.0,51.0,20.0,30.0
2784,massakory,td,13.0,16,65.0,24.0,0.0,12.0
837,santa helena de goias,br,-18.0,-51,69.0,96.0,56.0,5.0
5715,wiarton,ca,45.0,-81,33.0,86.0,90.0,9.0
7238,marevo,ru,57.0,32,46.0,100.0,75.0,1.0
790,nova vicosa,br,-19.0,-38,73.0,99.0,92.0,5.0
1273,saurimo,ao,-10.0,19,64.0,94.0,64.0,2.0
1061,luena,ao,-14.0,20,59.0,96.0,56.0,2.0
526,biloela,au,-25.0,150,91.0,21.0,0.0,12.0
4319,zuwarah,ly,33.0,12,59.0,100.0,12.0,11.0
4463,huaibei,cn,34.0,117,59.0,83.0,0.0,6.0
1264,remanso,br,-10.0,-42,74.0,100.0,92.0,6.0
4407,camacha,pt,34.0,-17,64.0,77.0,75.0,13.0
463,santo antonio do sudoeste,br,-26.0,-54,73.0,58.0,0.0,7.0
5483,limoux,fr,43.0,2,43.0,93.0,90.0,2.0
871,torata,pe,-17.0,-71,31.0,70.0,0.0,1.0
7824,muzhi,ru,65.0,63,-6.0,75.0,80.0,4.0
1515,la peca,pe,-5.0,-78,64.0,100.0,92.0,1.0
4923,fereydun kenar,ir,38.0,52,48.0,93.0,90.0,4.0
7412,tonstad,no,59.0,7,30.0,80.0,90.0,2.0
5001,capoterra,it,39.0,9,56.0,93.0,75.0,1.0
7710,hell,no,63.0,11,35.0,93.0,90.0,18.0
4258,talwara,in,32.0,76,52.0,76.0,0.0,2.0
